gemuese;Month;Seasonal
Schalotten;1;TRUE
Purpurroter keimender Brokkoli;1;TRUE
Brokkoli (weiß und lila);1;TRUE
Blumenkohl;1;FALSE
Japanischer Senfspinat (Komatsuma);1;FALSE
Mangold;1;FALSE
Früher Rhabarber;1;FALSE
Kohlrabi;1;FALSE
Frühlingsgrün;1;FALSE
Claytonia;1;FALSE
Rhabarber (gezwungen);1;FALSE
Rettiche und Radieschen;1;FALSE
Brunnenkresse;1;FALSE
Salat Zwiebeln;1;FALSE
Broccoli (Kalabrese);1;FALSE
Spargel;1;FALSE
Rhabarber;1;FALSE
Karotten;1;FALSE
Frühkartoffeln;1;FALSE
Stachelbeere;1;FALSE
Barbarakraut;1;FALSE
Rakete;1;FALSE
Erdbeeren;1;FALSE
Chopsuey-Grüns;1;FALSE
Salat;1;FALSE
Pilze;1;FALSE
Sellerie;1;FALSE
Zwiebel;1;FALSE
Rüben;1;TRUE
Squash;1;TRUE
Kaiserschoten;1;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);1;FALSE
Texel-Grüns;1;FALSE
Tomaten (drinnen);1;FALSE
Erbsen (Schale);1;FALSE
Erbsen (Zuckerschnaps);1;FALSE
Rote Johannisbeeren/Ribiseln;1;FALSE
Dicke Bohnen;1;FALSE
Kirschen;1;FALSE
Zucchini;1;FALSE
Aubergine;1;FALSE
Gurke;1;FALSE
Erbsen;1;FALSE
Paprika;1;FALSE
Himbeeren;1;FALSE
Französische Bohnen;1;FALSE
Stangenbohnen;1;FALSE
Rote Beete;1;TRUE
Schwarze Johannisbeeren/Ribiseln;1;FALSE
Kartoffeln (neu);1;FALSE
Lexel Greens;1;FALSE
Loganbeeren;1;FALSE
Heidelbeeren;1;FALSE
Artischocke;1;FALSE
Pfirsiche;1;FALSE
Fenchel;1;FALSE
Mark;1;FALSE
Okra;1;FALSE
Tomaten;1;FALSE
Cucurbita;1;FALSE
Kartoffeln;1;TRUE
Edel-Pflaume;1;FALSE
Brombeeren;1;FALSE
Nektarinen;1;FALSE
Chinesischer Sellerie;1;FALSE
Zuckermais;1;FALSE
Kohlrübe;1;TRUE
Knollensellerie;1;TRUE
Pastinake;1;TRUE
Rosenkohl;1;TRUE
Grünkohl;1;TRUE
Lauch;1;TRUE
Chicorée;1;TRUE
Zwetschgen;1;FALSE
Melonen;1;FALSE
Pflaumen;1;FALSE
Trauben;1;FALSE
Radicchio;1;FALSE
Endine;1;FALSE
Sojabohnen;1;FALSE
Nüsslisalat;1;FALSE
Topinambur Artischocke;1;TRUE
Holunderbeeren;1;FALSE
Japanische Rübe;1;FALSE
Preiselbeeren;1;FALSE
Apples;1;TRUE
Bananen;1;TRUE
Brokkoli;1;TRUE
Kohl;1;TRUE
Karotten;1;TRUE
Zitrusfrüchte;1;TRUE
Mangos;1;TRUE
Orangen;1;TRUE
Birnen;1;TRUE
Ananas;1;TRUE
Spinat;1;TRUE
Schalotten;2;FALSE
Purpurroter keimender Brokkoli;2;TRUE
Brokkoli (weiß und lila);2;TRUE
Blumenkohl;2;TRUE
Japanischer Senfspinat (Komatsuma);2;TRUE
Mangold;2;TRUE
Früher Rhabarber;2;TRUE
Kohlrabi;2;TRUE
Frühlingsgrün;2;FALSE
Claytonia;2;FALSE
Rhabarber (gezwungen);2;FALSE
Rettiche und Radieschen;2;FALSE
Brunnenkresse;2;FALSE
Salat Zwiebeln;2;FALSE
Broccoli (Kalabrese);2;FALSE
Spargel;2;FALSE
Rhabarber;2;FALSE
Karotten;2;FALSE
Frühkartoffeln;2;FALSE
Stachelbeere;2;FALSE
Barbarakraut;2;FALSE
Rakete;2;FALSE
Erdbeeren;2;FALSE
Chopsuey-Grüns;2;FALSE
Salat;2;FALSE
Pilze;2;FALSE
Sellerie;2;FALSE
Zwiebel;2;FALSE
Rüben;2;FALSE
Squash;2;TRUE
Kaiserschoten;2;FALSE
Frühlingsgrün (unentwickelte Frühlingskohlpflanzen);2;FALSE
Texel-Grüns;2;FALSE
Tomaten (drinnen);2;FALSE
Erbsen (Schale);2;FALSE
Erbsen (Zuckerschnaps);2;FALSE
Rote Johannisbeeren/Ribiseln;2;FALSE
Dicke Bohnen;2;FALSE
Kirschen;2;FALSE
Zucchini;2;FALSE
Aubergine;2;FALSE
Gurke;2;FALSE
Erbsen;2;FALSE
Paprika;2;FALSE
Himbeeren;2;FALSE
